Count,Segments,Variable Name,Variable Count
171,Young Urban Masses,"Has Residential Insurance, 1 Policy ",2663579
171,Diverse Workers,"Has Residential Insurance, 1 Policy ",5174147
171,Modest Families,"Has Residential Insurance, 1 Policy ",1025418
171,Well-heeled Affluents,"Has Residential Insurance, 2 Policies ",298359
171,Prosperous Acheivers,"Has Residential Insurance, 2 Policies ",453510
171,Young Affluent Mobiles,"Has Residential Insurance, 2 Policies ",470317
171,Upscale Matures,"Has Residential Insurance, 2 Policies ",273048
171,Elite Households,"Has Residential Insurance, 2 Policies ",390362
171,Young Upscale Families,"Has Residential Insurance, 2 Policies ",419509
171,Elder Midscale Class,"Has Residential Insurance, 2 Policies ",264051
171,Comfortable Retirees,"Has Residential Insurance, 2 Policies ",157356
171,Mass Markets,"Has Residential Insurance, 2 Policies ",453861
171,Young Urban Masses,"Has Residential Insurance, 2 Policies ",215183
171,Diverse Workers,"Has Residential Insurance, 2 Policies ",271168
171,Modest Families,"Has Residential Insurance, 2 Policies ",148304
171,Well-heeled Affluents,"Has Residential Insurance, All Policies (Total Premium) ",2527924
171,Prosperous Acheivers,"Has Residential Insurance, All Policies (Total Premium) ",3461788
171,Young Affluent Mobiles,"Has Residential Insurance, All Policies (Total Premium) ",4614521
171,Upscale Matures,"Has Residential Insurance, All Policies (Total Premium) ",2818531
171,Elite Households,"Has Residential Insurance, All Policies (Total Premium) ",3419722
171,Young Upscale Families,"Has Residential Insurance, All Policies (Total Premium) ",5596284
171,Elder Midscale Class,"Has Residential Insurance, All Policies (Total Premium) ",4445147
171,Comfortable Retirees,"Has Residential Insurance, All Policies (Total Premium) ",2676750
171,Mass Markets,"Has Residential Insurance, All Policies (Total Premium) ",6941661
171,Young Urban Masses,"Has Residential Insurance, All Policies (Total Premium) ",2960133
171,Diverse Workers,"Has Residential Insurance, All Policies (Total Premium) ",5559193
171,Modest Families,"Has Residential Insurance, All Policies (Total Premium) ",1235216
171,Well-heeled Affluents,"Has Residential Insurance, Any Continuous Policy: <1 Year ",150090
171,Prosperous Acheivers,"Has Residential Insurance, Any Continuous Policy: <1 Year ",200562
171,Young Affluent Mobiles,"Has Residential Insurance, Any Continuous Policy: <1 Year ",613277
171,Upscale Matures,"Has Residential Insurance, Any Continuous Policy: <1 Year ",227826
171,Elite Households,"Has Residential Insurance, Any Continuous Policy: <1 Year ",272968
171,Young Upscale Families,"Has Residential Insurance, Any Continuous Policy: <1 Year ",417702
171,Elder Midscale Class,"Has Residential Insurance, Any Continuous Policy: <1 Year ",309258
171,Comfortable Retirees,"Has Residential Insurance, Any Continuous Policy: <1 Year ",200740
171,Mass Markets,"Has Residential Insurance, Any Continuous Policy: <1 Year ",726950
171,Young Urban Masses,"Has Residential Insurance, Any Continuous Policy: <1 Year ",596715
171,Diverse Workers,"Has Residential Insurance, Any Continuous Policy: <1 Year ",565875
171,Modest Families,"Has Residential Insurance, Any Continuous Policy: <1 Year ",370748
171,Well-heeled Affluents,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1037946
171,Prosperous Acheivers,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1394824
171,Young Affluent Mobiles,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1700263
171,Upscale Matures,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1231177
171,Elite Households,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1328398
171,Young Upscale Families,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",2366870
171,Elder Midscale Class,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1967629
171,Comfortable Retirees,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",1224431
171,Mass Markets,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",2728499
171,Young Urban Masses,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",998181
171,Diverse Workers,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",2337590
171,Modest Families,"Has Residential Insurance, Primary Policy, Purchase Ch: Single Company Agent ",387029
171,Well-heeled Affluents,"Has Residential Insurance, Satisfied with Primary Company ",2169894
171,Prosperous Acheivers,"Has Residential Insurance, Satisfied with Primary Company ",2964946
171,Young Affluent Mobiles,"Has Residential Insurance, Satisfied with Primary Company ",3679318
171,Upscale Matures,"Has Residential Insurance, Satisfied with Primary Company ",2427970
171,Elite Households,"Has Residential Insurance, Satisfied with Primary Company ",2875644
171,Young Upscale Families,"Has Residential Insurance, Satisfied with Primary Company ",4722951
171,Elder Midscale Class,"Has Residential Insurance, Satisfied with Primary Company ",3917115
171,Comfortable Retirees,"Has Residential Insurance, Satisfied with Primary Company ",2322267
171,Mass Markets,"Has Residential Insurance, Satisfied with Primary Company ",5786246
171,Young Urban Masses,"Has Residential Insurance, Satisfied with Primary Company ",2461052
171,Diverse Workers,"Has Residential Insurance, Satisfied with Primary Company ",4467268
171,Modest Families,"Has Residential Insurance, Satisfied with Primary Company ",909679
171,Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Better Reputation ",63283
171,Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Better Reputation ",30722
171,Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Better Reputation ",181002
171,Upscale Matures,"Has Residential Insurance, Switch Reason: Better Reputation ",18081
171,Elite Households,"Has Residential Insurance, Switch Reason: Better Reputation ",135583
171,Young Upscale Families,"Has Residential Insurance, Switch Reason: Better Reputation ",202500
171,Elder Midscale Class,"Has Residential Insurance, Switch Reason: Better Reputation ",61493
171,Comfortable Retirees,"Has Residential Insurance, Switch Reason: Better Reputation ",16282
171,Mass Markets,"Has Residential Insurance, Switch Reason: Better Reputation ",291126
171,Young Urban Masses,"Has Residential Insurance, Switch Reason: Better Reputation ",110302
171,Diverse Workers,"Has Residential Insurance, Switch Reason: Better Reputation ",142793
171,Modest Families,"Has Residential Insurance, Switch Reason: Better Reputation ",75958
171,Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Combined Policy ",77757
171,Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Combined Policy ",72273
171,Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Combined Policy ",137493
171,Upscale Matures,"Has Residential Insurance, Switch Reason: Combined Policy ",84979
171,Elite Households,"Has Residential Insurance, Switch Reason: Combined Policy ",106636
171,Young Upscale Families,"Has Residential Insurance, Switch Reason: Combined Policy ",173586
171,Elder Midscale Class,"Has Residential Insurance, Switch Reason: Combined Policy ",117547
171,Comfortable Retirees,"Has Residential Insurance, Switch Reason: Combined Policy ",101269
171,Mass Markets,"Has Residential Insurance, Switch Reason: Combined Policy ",155513
171,Young Urban Masses,"Has Residential Insurance, Switch Reason: Combined Policy ",68716
171,Diverse Workers,"Has Residential Insurance, Switch Reason: Combined Policy ",146429
171,Modest Families,"Has Residential Insurance, Switch Reason: Combined Policy ",34365
171,Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Lower Price ",271235
171,Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Lower Price ",384872
171,Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Lower Price ",671200
171,Upscale Matures,"Has Residential Insurance, Switch Reason: Lower Price ",379662
171,Elite Households,"Has Residential Insurance, Switch Reason: Lower Price ",428399
171,Young Upscale Families,"Has Residential Insurance, Switch Reason: Lower Price ",764901
171,Elder Midscale Class,"Has Residential Insurance, Switch Reason: Lower Price ",508166
171,Comfortable Retirees,"Has Residential Insurance, Switch Reason: Lower Price ",262272
171,Mass Markets,"Has Residential Insurance, Switch Reason: Lower Price ",875187
171,Young Urban Masses,"Has Residential Insurance, Switch Reason: Lower Price ",314645
171,Diverse Workers,"Has Residential Insurance, Switch Reason: Lower Price ",647172
171,Modest Families,"Has Residential Insurance, Switch Reason: Lower Price ",175429
171,Well-heeled Affluents,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",106682
171,Prosperous Acheivers,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",106600
171,Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",204527
171,Upscale Matures,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",65079
171,Elite Households,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",178963
171,Young Upscale Families,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",296523
171,Elder Midscale Class,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",122985
171,Comfortable Retirees,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",50657
171,Mass Markets,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",370689
171,Young Urban Masses,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",108492
171,Diverse Workers,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",218733
171,Modest Families,"Has Residential Insurance, Switch Reason: More/Better Policy Features ",92242
171,Well-heeled Affluents,"Has Residential Insurance, Switch Reason: Moved ",39785
171,Prosperous Acheivers,"Has Residential Insurance, Switch Reason: Moved ",45173
171,Young Affluent Mobiles,"Has Residential Insurance, Switch Reason: Moved ",162811
171,Upscale Matures,"Has Residential Insurance, Switch Reason: Moved ",65079
171,Elite Households,"Has Residential Insurance, Switch Reason: Moved ",66875
171,Young Upscale Families,"Has Residential Insurance, Switch Reason: Moved ",142872
171,Elder Midscale Class,"Has Residential Insurance, Switch Reason: Moved ",126591
171,Comfortable Retirees,"Has Residential Insurance, Switch Reason: Moved ",63287
171,Mass Markets,"Has Residential Insurance, Switch Reason: Moved ",169989
171,Young Urban Masses,"Has Residential Insurance, Switch Reason: Moved ",151889
171,Diverse Workers,"Has Residential Insurance, Switch Reason: Moved ",122932
171,Modest Families,"Has Residential Insurance, Switch Reason: Moved ",50643
171,Well-heeled Affluents,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2023426
171,Prosperous Acheivers,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2867345
171,Young Affluent Mobiles,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",3425797
171,Upscale Matures,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2236373
171,Elite Households,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2617116
171,Young Upscale Families,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",4270852
171,Elder Midscale Class,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",3568051
171,Comfortable Retirees,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2206507
171,Mass Markets,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",5290744
171,Young Urban Masses,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",2251301
171,Diverse Workers,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",4313650
171,Modest Families,"Has Residential Insurance, Switched Carrier: Did Not Switch Past 3 Years ",839126
171,Well-heeled Affluents,"Has Residential Insurance, Type: Condo/Co-Op ",285685
171,Prosperous Acheivers,"Has Residential Insurance, Type: Condo/Co-Op ",433621
171,Young Affluent Mobiles,"Has Residential Insurance, Type: Condo/Co-Op ",417863
171,Upscale Matures,"Has Residential Insurance, Type: Condo/Co-Op ",321797
171,Elite Households,"Has Residential Insurance, Type: Condo/Co-Op ",222297
171,Young Upscale Families,"Has Residential Insurance, Type: Condo/Co-Op ",339916
171,Elder Midscale Class,"Has Residential Insurance, Type: Condo/Co-Op ",383362
171,Comfortable Retirees,"Has Residential Insurance, Type: Condo/Co-Op ",160973
171,Mass Markets,"Has Residential Insurance, Type: Condo/Co-Op ",377891
171,Young Urban Masses,"Has Residential Insurance, Type: Condo/Co-Op ",115722
171,Diverse Workers,"Has Residential Insurance, Type: Condo/Co-Op ",381425
171,Modest Families,"Has Residential Insurance, Type: Condo/Co-Op ",92239
171,Well-heeled Affluents,"Has Residential Insurance, Type: Homeowners ",2269352
171,Prosperous Acheivers,"Has Residential Insurance, Type: Homeowners ",3022740
171,Young Affluent Mobiles,"Has Residential Insurance, Type: Homeowners ",3299420
171,Upscale Matures,"Has Residential Insurance, Type: Homeowners ",2500342
171,Elite Households,"Has Residential Insurance, Type: Homeowners ",3012992
171,Young Upscale Families,"Has Residential Insurance, Type: Homeowners ",4818703
171,Elder Midscale Class,"Has Residential Insurance, Type: Homeowners ",3524635
171,Comfortable Retirees,"Has Residential Insurance, Type: Homeowners ",2109020
171,Mass Markets,"Has Residential Insurance, Type: Homeowners ",5995722
171,Young Urban Masses,"Has Residential Insurance, Type: Homeowners ",455675
171,Diverse Workers,"Has Residential Insurance, Type: Homeowners ",4255488
171,Modest Families,"Has Residential Insurance, Type: Homeowners ",320122
171,Well-heeled Affluents,"Has Residential Insurance, Type: Renters ",124775
171,Prosperous Acheivers,"Has Residential Insurance, Type: Renters ",198769
171,Young Affluent Mobiles,"Has Residential Insurance, Type: Renters ",1087232
171,Upscale Matures,"Has Residential Insurance, Type: Renters ",81385
171,Elite Households,"Has Residential Insurance, Type: Renters ",390455
171,Young Upscale Families,"Has Residential Insurance, Type: Renters ",604016
171,Elder Midscale Class,"Has Residential Insurance, Type: Renters ",604064
171,Comfortable Retirees,"Has Residential Insurance, Type: Renters ",448381
171,Mass Markets,"Has Residential Insurance, Type: Renters ",754297
171,Young Urban Masses,"Has Residential Insurance, Type: Renters ",2488184
171,Diverse Workers,"Has Residential Insurance, Type: Renters ",1036159
171,Modest Families,"Has Residential Insurance, Type: Renters ",920520
171,Well-heeled Affluents,Home Office: Do Not Have an Office Set-Up at Home ,247032
171,Prosperous Acheivers,Home Office: Do Not Have an Office Set-Up at Home ,287654
171,Young Affluent Mobiles,Home Office: Do Not Have an Office Set-Up at Home ,737235
171,Upscale Matures,Home Office: Do Not Have an Office Set-Up at Home ,114860
171,Elite Households,Home Office: Do Not Have an Office Set-Up at Home ,418549
171,Young Upscale Families,Home Office: Do Not Have an Office Set-Up at Home ,805206
171,Elder Midscale Class,Home Office: Do Not Have an Office Set-Up at Home ,239274
171,Comfortable Retirees,Home Office: Do Not Have an Office Set-Up at Home ,62263
171,Mass Markets,Home Office: Do Not Have an Office Set-Up at Home ,1295695
171,Young Urban Masses,Home Office: Do Not Have an Office Set-Up at Home ,1135961
171,Diverse Workers,Home Office: Do Not Have an Office Set-Up at Home ,954451
171,Modest Families,Home Office: Do Not Have an Office Set-Up at Home ,436796
171,Well-heeled Affluents,Home Office: Have an Office Set-Up at Home ,178402
171,Prosperous Acheivers,Home Office: Have an Office Set-Up at Home ,156480
171,Young Affluent Mobiles,Home Office: Have an Office Set-Up at Home ,393708
171,Upscale Matures,Home Office: Have an Office Set-Up at Home ,58280
171,Elite Households,Home Office: Have an Office Set-Up at Home ,296954
171,Young Upscale Families,Home Office: Have an Office Set-Up at Home ,314131
171,Elder Midscale Class,Home Office: Have an Office Set-Up at Home ,79623
171,Comfortable Retirees,Home Office: Have an Office Set-Up at Home ,8782
171,Mass Markets,Home Office: Have an Office Set-Up at Home ,281385
171,Young Urban Masses,Home Office: Have an Office Set-Up at Home ,187808
171,Diverse Workers,Home Office: Have an Office Set-Up at Home ,105454
171,Modest Families,Home Office: Have an Office Set-Up at Home ,31802
171,Well-heeled Affluents,Home Office: Primarily Work From Home ,63218
171,Prosperous Acheivers,Home Office: Primarily Work From Home ,56941
171,Young Affluent Mobiles,Home Office: Primarily Work From Home ,115347
171,Upscale Matures,Home Office: Primarily Work From Home ,30682
171,Elite Households,Home Office: Primarily Work From Home ,90873
171,Young Upscale Families,Home Office: Primarily Work From Home ,100004
171,Elder Midscale Class,Home Office: Primarily Work From Home ,44420
171,Comfortable Retirees,Home Office: Primarily Work From Home ,10113
171,Mass Markets,Home Office: Primarily Work From Home ,109953
171,Young Urban Masses,Home Office: Primarily Work From Home ,95297
171,Diverse Workers,Home Office: Primarily Work From Home ,92414
171,Modest Families,Home Office: Primarily Work From Home ,29689
171,Well-heeled Affluents,Home Office: Primarily Work Out of an Office or Company Location ,362215
171,Prosperous Acheivers,Home Office: Primarily Work Out of an Office or Company Location ,387255
171,Young Affluent Mobiles,Home Office: Primarily Work Out of an Office or Company Location ,1015294
171,Upscale Matures,Home Office: Primarily Work Out of an Office or Company Location ,143158
171,Elite Households,Home Office: Primarily Work Out of an Office or Company Location ,624630
171,Young Upscale Families,Home Office: Primarily Work Out of an Office or Company Location ,1019620
171,Elder Midscale Class,Home Office: Primarily Work Out of an Office or Company Location ,274815
171,Comfortable Retirees,Home Office: Primarily Work Out of an Office or Company Location ,60499
171,Mass Markets,Home Office: Primarily Work Out of an Office or Company Location ,1467435
171,Young Urban Masses,Home Office: Primarily Work Out of an Office or Company Location ,1228419
171,Diverse Workers,Home Office: Primarily Work Out of an Office or Company Location ,967884
171,Modest Families,Home Office: Primarily Work Out of an Office or Company Location ,438094
171,Well-heeled Affluents,Household Composition: 1 Adult- Children <18 ,22333
171,Prosperous Acheivers,Household Composition: 1 Adult- Children <18 ,24809
171,Young Affluent Mobiles,Household Composition: 1 Adult- Children <18 ,7444
171,Upscale Matures,Household Composition: 1 Adult- Children <18 ,2482
171,Elite Households,Household Composition: 1 Adult- Children <18 ,111662
171,Young Upscale Families,Household Composition: 1 Adult- Children <18 ,203432
171,Elder Midscale Class,Household Composition: 1 Adult- Children <18 ,18605
171,Comfortable Retirees,Household Composition: 1 Adult- Children <18 ,17362
171,Mass Markets,Household Composition: 1 Adult- Children <18 ,536062
171,Young Urban Masses,Household Composition: 1 Adult- Children <18 ,408240
171,Diverse Workers,Household Composition: 1 Adult- Children <18 ,760643
171,Modest Families,Household Composition: 1 Adult- Children <18 ,705922
171,Well-heeled Affluents,Household Composition: 1 Adult- No Children <18 ,217123
171,Prosperous Acheivers,Household Composition: 1 Adult- No Children <18 ,575557
171,Young Affluent Mobiles,Household Composition: 1 Adult- No Children <18 ,1232068
171,Upscale Matures,Household Composition: 1 Adult- No Children <18 ,863615
171,Elite Households,Household Composition: 1 Adult- No Children <18 ,191068
171,Young Upscale Families,Household Composition: 1 Adult- No Children <18 ,672460
171,Elder Midscale Class,Household Composition: 1 Adult- No Children <18 ,2212225
171,Comfortable Retirees,Household Composition: 1 Adult- No Children <18 ,2227562
171,Mass Markets,Household Composition: 1 Adult- No Children <18 ,1611691
171,Young Urban Masses,Household Composition: 1 Adult- No Children <18 ,1837742
171,Diverse Workers,Household Composition: 1 Adult- No Children <18 ,3930258
171,Modest Families,Household Composition: 1 Adult- No Children <18 ,1480066
171,Well-heeled Affluents,Household Composition: Married Couple- Children <18 ,389583
171,Prosperous Acheivers,Household Composition: Married Couple- Children <18 ,148847
171,Young Affluent Mobiles,Household Composition: Married Couple- Children <18 ,259292
171,Upscale Matures,Household Composition: Married Couple- Children <18 ,7445
171,Elite Households,Household Composition: Married Couple- Children <18 ,1867206
171,Young Upscale Families,Household Composition: Married Couple- Children <18 ,1985739
171,Elder Midscale Class,Household Composition: Married Couple- Children <18 ,44653
171,Comfortable Retirees,Household Composition: Married Couple- Children <18 ,31016
171,Mass Markets,Household Composition: Married Couple- Children <18 ,2215964
171,Young Urban Masses,Household Composition: Married Couple- Children <18 ,1055976
171,Diverse Workers,Household Composition: Married Couple- Children <18 ,838778
171,Modest Families,Household Composition: Married Couple- Children <18 ,332496
171,Well-heeled Affluents,Household Composition: Married Couple- Children <18 and 18+ ,213406
171,Prosperous Acheivers,Household Composition: Married Couple- Children <18 and 18+ ,120314
171,Young Affluent Mobiles,Household Composition: Married Couple- Children <18 and 18+ ,7444
171,Upscale Matures,Household Composition: Married Couple- Children <18 and 18+ ,14890
171,Elite Households,Household Composition: Married Couple- Children <18 and 18+ ,321294
171,Young Upscale Families,Household Composition: Married Couple- Children <18 and 18+ ,522268
171,Elder Midscale Class,Household Composition: Married Couple- Children <18 and 18+ ,48372
171,Comfortable Retirees,Household Composition: Married Couple- Children <18 and 18+ ,26046
171,Mass Markets,Household Composition: Married Couple- Children <18 and 18+ ,595606
171,Young Urban Masses,Household Composition: Married Couple- Children <18 and 18+ ,141455
171,Diverse Workers,Household Composition: Married Couple- Children <18 and 18+ ,275472
171,Modest Families,Household Composition: Married Couple- Children <18 and 18+ ,52107
171,Well-heeled Affluents,Household Composition: Married Couple- Children 18+ ,500007
171,Prosperous Acheivers,Household Composition: Married Couple- Children 18+ ,436688
171,Young Affluent Mobiles,Household Composition: Married Couple- Children 18+ ,379731
171,Upscale Matures,Household Composition: Married Couple- Children 18+ ,147660
171,Elite Households,Household Composition: Married Couple- Children 18+ ,202170
171,Young Upscale Families,Household Composition: Married Couple- Children 18+ ,529772
171,Elder Midscale Class,Household Composition: Married Couple- Children 18+ ,198495
171,Comfortable Retirees,Household Composition: Married Couple- Children 18+ ,62030
171,Mass Markets,Household Composition: Married Couple- Children 18+ ,395788
171,Young Urban Masses,Household Composition: Married Couple- Children 18+ ,167482
171,Diverse Workers,Household Composition: Married Couple- Children 18+ ,196067
171,Modest Families,Household Composition: Married Couple- Children 18+ ,17369
171,Well-heeled Affluents,Household Composition: Married Couple Only ,935493
